Type,Name,Description,Heroes
Buff,Multilayer Barrier,Increases Hit Chance by 50% and is unaffected by debuffs and some harmful effects.,['c1146']
Buff,Phantom Sword,"When attacking, if the target is a Hero, ignores damage reduction and damage sharing effects, and when defeating an enemy, Phantom Sword changes into Neo Phantom Sword.",['c6011']
Buff,Neo Phantom Sword,"When attacking, if the target is a Hero, ignores damage reduction and damage sharing effects, and increases damage dealt proportional to the target's max Health. Dispelled after attacking.",['c6011']
Buff,Increase Effectiveness,Increases Effectiveness by 50%.,"['c1117', 'c4025', 'c1014', 'c2090', 'c3101', 'c4023', 'c2029', 'c2003', 'c4123', 'c2062', 'c4004', 'c4071']"
Buff,Deify,"When attacking, increases Critical Hit Chance by 50%, and when attacked, decreases damage suffered by 50%. When more than one damage reduction effect is granted, only the strongest effect is applied.",['c1133']
Buff,Exploiting Weak Points,"When attacking, increases damage dealt by 20%. After attacking, this effect is dispelled.","['c3163', 'c3160', 'c1136']"
Buff,Increase Attack,Increases Attack by 50%.,"['c3143', 'c1138', 'c1140', 'c3105', 'c4105', 'c1143', 'c3158', 'c1048', 'c2099', 'c2014', 'c2033', 'c2031', 'c1141', 'c2021', 'c2011', 'c1097', 'c3124', 'c4034', 'c3071', 'c3064', 'c2005', 'c1027', 'c1009', 'c1049', 'c3123', 'c2027', 'c1099', 'c2080', 'c1076', 'c1105', 'c3054', 'c1116', 'c3022', 'c2069', 'c1158', 'c1110', 'c1163', 'c2035', 'c2018', 'c3091', 'c3041', 'c3023', 'c5016', 'c4141', 'c1128', 'c3102', 'c1161', 'c1130', 'c3131', 'c1055', 'c1152', 'c1073', 'c1023', 'c1086', 'c1085', 'c1107', 'c6011', 'c3163', 'c3092', 'c3153', 'c2049', 'c2047', 'c4041', 'c2073', 'c1096', 'c1005', 'c4023', 'c5089', 'c1122', 'c6037', 'c1044', 'c4062', 'c3132', 'c2109', 'c3061', 'c2072', 'c3133', 'c1080', 'c1125', 'c2110', 'c1118', 'c1114', 'c2074', 'c1121', 'c1003', 'c1135', 'c4144', 'c1040', 'c1157', 'c1132', 'c2017', 'c4123', 'c2062', 'c3015', 'c1127', 'c1067', 'c3032', 'c1050', 'c2082', 'c4143', 'c1007', 'c1088', 'c3134', 'c1016', 'c1030', 'c1119', 'c4071', 'c1133']"
Buff,Increase Attack (Greater),Increases Attack by 75%.,"['c2014', 'c2021', 'c2011', 'c1079', 'c1158', 'c3103', 'c6017', 'c1055', 'c1152', 'c4041', 'c1115', 'c1054', 'c1106', 'c1050', 'c4103', 'c1088', 'c4071']"
Buff,Revive,"Upon receiving lethal damage, revives with 30% of max Health.","['c6017', 'c2049', 'c3072', 'c1102']"
Buff,Blood Aura,Increases Effectiveness and Speed by 30%.,['c2039']
Buff,Chain of Chiron,"After attacking, inflicts a random debuff on the target for 1 turn. Random debuff: Stun, Cannot Buff, Decrease Hit Chance, Restrict",['c1130']
Buff,Enhanced Dual Attack,"When an ally except for the bearer uses a skill and the bearer is available to use a Dual Attack, attacks the same target with a basic attack. Enhanced Dual Attack is dispelled when the bearer uses a Dual Attack.","['c1044', 'c5009']"
Buff,Counterattack,Counterattacks with basic skill when attacked. Is not triggered by extra attacks or counterattacks.,"['c1155', 'c1129', 'c1108', 'c3122', 'c3084', 'c1106', 'c2023']"
Buff,Increase Critical Hit Chance,Increase Critical Hit Chance by 50%.,"['c1117', 'c2037', 'c1021', 'c1087', 'c6017', 'c4023', 'c1054', 'c4103']"
Buff,Increase Critical Hit Damage,Increase Critical Hit Damage by 50%.,"['c6008', 'c1014', 'c2054', 'c1110', 'c1113', 'c6017', 'c3163', 'c1054', 'c1132', 'c1007']"
Buff,Increase Critical Hit Resistance,Increase Critical Hit Resistance by 50%.,"['c1101', 'c1076', 'c6017', 'c1104', 'c2109', 'c1121', 'c2036']"
