Hero,Winrate,Pick Rate,Counter1,Counter1_Wins,Counter2,Counter2_Wins,Counter3,Counter3_Wins,Pick1,Pick1_Count,Pick2,Pick2_Count,Pick3,Pick3_Count,CounteredBy1,CounteredBy1_Count,CounteredBy2,CounteredBy2_Count,CounteredBy3,CounteredBy3_Count
c2016,0.5970149253731343,0.05702127659574468,c2125,257,c2011,163,c1150,134,c2090,167,c2113,134,c2125,128,c2125,243,c2011,156,c1150,119
c2125,0.6009577015163607,0.26659574468085107,c2090,747,c5110,730,c2113,630,c2090,736,c2128,574,c2011,536,c2113,874,c2090,865,c5110,656
c2090,0.5838092038965401,0.31670212765957445,c1060,1120,c2113,1020,c2125,865,c1162,795,c1159,736,c2125,736,c2113,1182,c1060,1110,c2125,747
c2101,0.5703296703296703,0.09680851063829787,c2113,453,c1060,363,c1162,302,c2090,544,c1162,300,c2125,288,c2113,507,c1159,307,c1060,305
c2008,0.5825242718446602,0.010957446808510638,c1162,38,c2125,34,c1060,32,c2090,72,c1159,39,c2113,36,c2113,33,c1162,32,c2090,25
c2128,0.5773026315789473,0.19404255319148936,c2113,524,c2066,505,c2090,494,c2125,574,c5004,434,c2090,386,c2113,722,c2090,625,c2039,464
c2113,0.6069295101553166,0.2671276595744681,c2090,1182,c2125,874,c2128,722,c1060,641,c2039,618,c2090,596,c2090,1020,c1162,657,c2125,630
c2095,0.5971014492753624,0.07340425531914893,c2090,292,c1153,241,c2128,172,c2113,267,c2090,169,c5110,146,c2090,288,c1153,205,c5110,153
c2070,0.5964630225080386,0.06617021276595744,c2090,306,c1162,293,c2125,185,c2113,367,c1060,222,c2090,199,c1162,262,c2090,251,c2101,148
c2011,0.607728337236534,0.18170212765957447,c2090,468,c5110,459,c2125,457,c2125,536,c1150,535,c2066,436,c2113,578,c2090,509,c5110,443
c1162,0.5905197030268418,0.18627659574468086,c2113,657,c2090,596,c2125,533,c2090,795,c1156,608,c1153,474,c2113,702,c2090,662,c2125,500
c1100,0.6074498567335244,0.037127659574468085,c2113,199,c1060,153,c1159,110,c1162,281,c2090,211,c1153,149,c2113,255,c1060,189,c1159,125
c1156,0.6205211726384365,0.13063829787234044,c2125,432,c2011,380,c2113,315,c1162,608,c2090,591,c2113,358,c2125,349,c2113,290,c2011,281
c1060,0.5969479353680431,0.11851063829787234,c2090,1110,c1162,404,c2101,305,c2113,641,c1162,363,c1153,234,c2090,1120,c1162,406,c2101,363
c1153,0.5800395256916996,0.1076595744680851,c2090,392,c2125,296,c2113,286,c1162,474,c2090,370,c2113,331,c2090,453,c2113,352,c1055,289
c2109,0.6190476190476191,0.017872340425531916,c2125,75,c1150,51,c2011,49,c2113,75,c2090,67,c5110,57,c2125,61,c2090,51,c1150,43
c2165,0.5700934579439252,0.011382978723404255,c1162,69,c1153,46,c2090,44,c2125,47,c2090,39,c1060,28,c1162,52,c1153,51,c2113,31
c1104,0.602803738317757,0.09106382978723404,c2090,304,c2125,212,c2113,196,c1162,311,c2090,214,c2113,197,c2090,323,c2113,259,c2039,221
c2066,0.6154830454254638,0.16627659574468084,c2125,511,c2090,458,c1159,430,c2011,436,c2125,336,c2090,330,c2125,521,c2128,505,c2090,497
c2074,0.5633333333333334,0.031914893617021274,c1162,138,c2113,117,c1153,112,c2125,198,c2090,146,c2113,64,c1162,191,c2113,187,c2090,176
c1055,0.5682182985553772,0.1325531914893617,c2090,407,c1162,354,c5110,337,c2113,406,c2090,322,c2112,313,c2090,524,c1162,388,c2128,372
c6062,0.5,0.004893617021276595,c1162,17,c1153,17,c2090,16,c2113,19,c2090,19,c1055,13,c2113,25,c2125,23,c2039,21
c2039,0.6013945380592679,0.18308510638297873,c2125,648,c2090,537,c2128,464,c2113,618,c2090,618,c1159,361,c2090,524,c2125,505,c5110,390
c2042,0.5993788819875776,0.03425531914893617,c2125,85,c2011,80,c1153,76,c2090,134,c2113,95,c2039,93,c2113,120,c2125,112,c2090,97
c2110,0.6428571428571429,0.008936170212765958,c1055,32,c2090,23,c2011,22,c2125,36,c2039,29,c5110,28,c2125,62,c2090,58,c2113,49
c2022,0.5263157894736842,0.004042553191489362,c2066,14,c2125,12,c1060,11,c2090,15,c1162,13,c2039,11,c2113,10,c2090,10,c1162,10
c1146,0.5,0.026595744680851064,c1162,183,c2090,153,c2125,83,c2113,127,c2039,66,c1060,65,c1162,201,c2090,145,c2125,91
c1159,0.5857321652065082,0.17,c2125,498,c2066,470,c2090,459,c2090,736,c2113,558,c2039,361,c2090,488,c2066,430,c2125,421
c1150,0.5749318801089919,0.11712765957446808,c2125,332,c5110,324,c2112,285,c2011,535,c2125,348,c5110,277,c2125,364,c5110,327,c2011,291
