Match Number,Pick Order,Match Result,Team,Hero,First Pick
0,2,Win,My Team,c1171,0
0,3,Win,My Team,c1104,0
0,6,Win,My Team,c1153,0
0,7,Win,My Team,c5110,0
0,10,Win,My Team,c5001,0
0,1,Loss,Enemy Team,c1076,1
0,4,Loss,Enemy Team,c2113,1
0,5,Loss,Enemy Team,c1156,1
0,8,Loss,Enemy Team,c1162,1
0,9,Loss,Enemy Team,c2023,1
1,2,Win,My Team,c1133,0
1,3,Win,My Team,c2125,0
1,6,Win,My Team,c1153,0
1,7,Win,My Team,c4158,0
1,10,Win,My Team,c5110,0
1,1,Loss,Enemy Team,c2112,1
1,4,Loss,Enemy Team,c1150,1
1,5,Loss,Enemy Team,c2011,1
1,8,Loss,Enemy Team,c2042,1
1,9,Loss,Enemy Team,c2022,1
2,2,Win,My Team,c2126,0
2,3,Win,My Team,c1171,0
2,6,Win,My Team,c1133,0
2,7,Win,My Team,c5110,0
2,10,Win,My Team,c1163,0
2,1,Loss,Enemy Team,c2112,1
2,4,Loss,Enemy Team,c5046,1
2,5,Loss,Enemy Team,c1142,1
2,8,Loss,Enemy Team,c2111,1
2,9,Loss,Enemy Team,c2016,1
3,2,Win,My Team,c2125,0
3,3,Win,My Team,c2070,0
3,6,Win,My Team,c2111,0
3,7,Win,My Team,c2112,0
3,10,Win,My Team,c1142,0
3,1,Loss,Enemy Team,c5004,1
3,4,Loss,Enemy Team,c5110,1
3,5,Loss,Enemy Team,c1162,1
3,8,Loss,Enemy Team,c1159,1
3,9,Loss,Enemy Team,c1131,1
4,2,Win,My Team,c2125,0
4,3,Win,My Team,c5110,0
4,6,Win,My Team,c1153,0
4,7,Win,My Team,c2073,0
4,10,Win,My Team,c1104,0
4,1,Loss,Enemy Team,c2016,1
4,4,Loss,Enemy Team,c2113,1
4,5,Loss,Enemy Team,c2111,1
4,8,Loss,Enemy Team,c2070,1
4,9,Loss,Enemy Team,c2095,1
5,2,Win,My Team,c2112,0
5,3,Win,My Team,c1070,0
5,6,Win,My Team,c2111,0
5,7,Win,My Team,c1134,0
5,10,Win,My Team,c2095,0
5,1,Loss,Enemy Team,c5110,1
5,4,Loss,Enemy Team,c2125,1
5,5,Loss,Enemy Team,c2024,1
5,8,Loss,Enemy Team,c1016,1
5,9,Loss,Enemy Team,c2102,1
6,2,Win,My Team,c2112,0
6,3,Win,My Team,c5110,0
6,6,Win,My Team,c1159,0
6,7,Win,My Team,c1147,0
6,10,Win,My Team,c1118,0
6,1,Loss,Enemy Team,c2126,1
6,4,Loss,Enemy Team,c1171,1
6,5,Loss,Enemy Team,c1070,1
6,8,Loss,Enemy Team,c1103,1
6,9,Loss,Enemy Team,c1142,1
7,2,Win,My Team,c2112,0
7,3,Win,My Team,c5110,0
7,6,Win,My Team,c2125,0
7,7,Win,My Team,c1121,0
7,10,Win,My Team,c2053,0
7,1,Loss,Enemy Team,c2126,1
7,4,Loss,Enemy Team,c1171,1
7,5,Loss,Enemy Team,c5001,1
7,8,Loss,Enemy Team,c2111,1
7,9,Loss,Enemy Team,c4158,1
8,2,Win,My Team,c2112,0
8,3,Win,My Team,c5110,0
8,6,Win,My Team,c1162,0
8,7,Win,My Team,c1099,0
8,10,Win,My Team,c1103,0
8,1,Loss,Enemy Team,c2125,1
8,4,Loss,Enemy Team,c1150,1
8,5,Loss,Enemy Team,c2011,1
8,8,Loss,Enemy Team,c1142,1
8,9,Loss,Enemy Team,c1148,1
9,2,Win,My Team,c2112,0
9,3,Win,My Team,c1171,0
9,6,Win,My Team,c2106,0
9,7,Win,My Team,c2111,0
9,10,Win,My Team,c1055,0
9,1,Loss,Enemy Team,c2126,1
9,4,Loss,Enemy Team,c2016,1
9,5,Loss,Enemy Team,c5110,1
9,8,Loss,Enemy Team,c1133,1
9,9,Loss,Enemy Team,c2069,1
10,2,Win,My Team,c5110,0
10,3,Win,My Team,c2125,0
10,6,Win,My Team,c5001,0
10,7,Win,My Team,c2074,0
10,10,Win,My Team,c1022,0
10,1,Loss,Enemy Team,c2113,1
10,4,Loss,Enemy Team,c2070,1
10,5,Loss,Enemy Team,c1153,1
10,8,Loss,Enemy Team,c1137,1
10,9,Loss,Enemy Team,c2039,1
11,2,Win,My Team,c2112,0
11,3,Win,My Team,c5110,0
11,6,Win,My Team,c1162,0
11,7,Win,My Team,c1099,0
11,10,Win,My Team,c1103,0
11,1,Loss,Enemy Team,c2125,1
11,4,Loss,Enemy Team,c2101,1
11,5,Loss,Enemy Team,c1102,1
11,8,Loss,Enemy Team,c1117,1
11,9,Loss,Enemy Team,c2047,1
12,2,Win,My Team,c1104,0
12,3,Win,My Team,c1171,0
12,6,Win,My Team,c2112,0
12,7,Win,My Team,c1127,0
12,10,Win,My Team,c2127,0
12,1,Loss,Enemy Team,c2113,1
12,4,Loss,Enemy Team,c1076,1
12,5,Loss,Enemy Team,c5001,1
12,8,Loss,Enemy Team,c2039,1
12,9,Loss,Enemy Team,c1153,1
13,2,Win,My Team,c2112,0
13,3,Win,My Team,c5110,0
13,6,Win,My Team,c1133,0
13,7,Win,My Team,c2127,0
13,10,Win,My Team,c2069,0
13,1,Loss,Enemy Team,c2125,1
13,4,Loss,Enemy Team,c2101,1
13,5,Loss,Enemy Team,c2111,1
13,8,Loss,Enemy Team,c1148,1
13,9,Loss,Enemy Team,c5016,1
14,2,Win,My Team,c1171,0
14,3,Win,My Team,c2106,0
14,6,Win,My Team,c1133,0
14,7,Win,My Team,c5046,0
14,10,Win,My Team,c2102,0
14,1,Loss,Enemy Team,c2112,1
14,4,Loss,Enemy Team,c5001,1
14,5,Loss,Enemy Team,c1137,1
14,8,Loss,Enemy Team,c1117,1
14,9,Loss,Enemy Team,c2113,1
15,2,Win,My Team,c2112,0
15,3,Win,My Team,c1171,0
15,6,Win,My Team,c1133,0
15,7,Win,My Team,c2127,0
15,10,Win,My Team,c2069,0
15,1,Loss,Enemy Team,c5110,1
15,4,Loss,Enemy Team,c2101,1
15,5,Loss,Enemy Team,c1125,1
15,8,Loss,Enemy Team,c2004,1
15,9,Loss,Enemy Team,c4158,1
16,2,Win,My Team,c1133,0
16,3,Win,My Team,c5110,0
16,6,Win,My Team,c1153,0
16,7,Win,My Team,c4158,0
16,10,Win,My Team,c2102,0
16,1,Loss,Enemy Team,c2112,1
16,4,Loss,Enemy Team,c1142,1
16,5,Loss,Enemy Team,c1103,1
16,8,Loss,Enemy Team,c4144,1
16,9,Loss,Enemy Team,c1162,1
17,2,Loss,My Team,c5110,0
17,3,Loss,My Team,c2113,0
17,6,Loss,My Team,c1153,0
17,7,Loss,My Team,c1076,0
17,10,Loss,My Team,c1161,0
17,1,Win,Enemy Team,c2125,1
17,4,Win,Enemy Team,c1070,1
17,5,Win,Enemy Team,c2111,1
17,8,Win,Enemy Team,c2070,1
17,9,Win,Enemy Team,c1019,1
18,2,Win,My Team,c5001,0
18,3,Win,My Team,c5110,0
18,6,Win,My Team,c2112,0
18,7,Win,My Team,c2127,0
18,10,Win,My Team,c1016,0
18,1,Loss,Enemy Team,c2113,1
18,4,Loss,Enemy Team,c2070,1
18,5,Loss,Enemy Team,c2111,1
18,8,Loss,Enemy Team,c1153,1
18,9,Loss,Enemy Team,c1148,1
19,2,Win,My Team,c2112,0
19,3,Win,My Team,c5110,0
19,6,Win,My Team,c1133,0
19,7,Win,My Team,c2127,0
19,10,Win,My Team,c2102,0
19,1,Loss,Enemy Team,c2125,1
19,4,Loss,Enemy Team,c1070,1
19,5,Loss,Enemy Team,c2111,1
19,8,Loss,Enemy Team,c1117,1
19,9,Loss,Enemy Team,c1148,1
20,2,Loss,My Team,c2112,0
20,3,Loss,My Team,c5110,0
20,6,Loss,My Team,c2004,0
20,7,Loss,My Team,c1014,0
20,10,Loss,My Team,c2102,0
20,1,Win,Enemy Team,c1150,1
20,4,Win,Enemy Team,c2011,1
20,5,Win,Enemy Team,c2082,1
20,8,Win,Enemy Team,c4158,1
20,9,Win,Enemy Team,c2007,1
21,2,Loss,My Team,c2112,0
21,3,Loss,My Team,c1171,0
21,6,Loss,My Team,c1133,0
21,7,Loss,My Team,c2127,0
21,10,Loss,My Team,c2069,0
21,1,Win,Enemy Team,c2125,1
21,4,Win,Enemy Team,c5001,1
21,5,Win,Enemy Team,c1076,1
21,8,Win,Enemy Team,c5016,1
21,9,Win,Enemy Team,c1148,1
22,2,Win,My Team,c2126,0
22,3,Win,My Team,c5110,0
22,6,Win,My Team,c1070,0
22,7,Win,My Team,c1137,0
22,10,Win,My Team,c1151,0
22,1,Loss,Enemy Team,c2125,1
22,4,Loss,Enemy Team,c1171,1
22,5,Loss,Enemy Team,c5001,1
22,8,Loss,Enemy Team,c1104,1
22,9,Loss,Enemy Team,c1103,1
23,2,Win,My Team,c1133,0
23,3,Win,My Team,c2035,0
23,6,Win,My Team,c2126,0
23,7,Win,My Team,c2007,0
23,10,Win,My Team,c2011,0
23,1,Loss,Enemy Team,c2112,1
23,4,Loss,Enemy Team,c2050,1
23,5,Loss,Enemy Team,c1162,1
23,8,Loss,Enemy Team,c1103,1
23,9,Loss,Enemy Team,c1099,1
24,2,Loss,My Team,c5110,0
24,3,Loss,My Team,c2004,0
24,6,Loss,My Team,c2112,0
24,7,Loss,My Team,c5016,0
24,10,Loss,My Team,c1117,0
24,1,Win,Enemy Team,c2125,1
24,4,Win,Enemy Team,c1142,1
24,5,Win,Enemy Team,c1133,1
24,8,Win,Enemy Team,c2069,1
24,9,Win,Enemy Team,c2102,1
25,2,Win,My Team,c5110,0
25,3,Win,My Team,c2004,0
25,6,Win,My Team,c2112,0
25,7,Win,My Team,c2047,0
25,10,Win,My Team,c1065,0
25,1,Loss,Enemy Team,c1150,1
25,4,Loss,Enemy Team,c2011,1
25,5,Loss,Enemy Team,c1142,1
25,8,Loss,Enemy Team,c1020,1
25,9,Loss,Enemy Team,c1014,1
26,2,Loss,My Team,c5110,0
26,3,Loss,My Team,c2004,0
26,6,Loss,My Team,c2112,0
26,7,Loss,My Team,c2127,0
26,10,Loss,My Team,c5046,0
26,1,Win,Enemy Team,c2125,1
26,4,Win,Enemy Team,c1070,1
26,5,Win,Enemy Team,c2111,1
26,8,Win,Enemy Team,c2109,1
26,9,Win,Enemy Team,c5016,1
27,2,Win,My Team,c5110,0
27,3,Win,My Team,c2004,0
27,6,Win,My Team,c2112,0
27,7,Win,My Team,c5016,0
27,10,Win,My Team,c2039,0
27,1,Loss,Enemy Team,c2125,1
27,4,Loss,Enemy Team,c1070,1
27,5,Loss,Enemy Team,c1133,1
27,8,Loss,Enemy Team,c2069,1
27,9,Loss,Enemy Team,c4158,1
28,2,Loss,My Team,c5110,0
28,3,Loss,My Team,c1121,0
28,6,Loss,My Team,c2112,0
28,7,Loss,My Team,c1055,0
28,10,Loss,My Team,c2127,0
28,1,Win,Enemy Team,c2125,1
28,4,Win,Enemy Team,c1171,1
28,5,Win,Enemy Team,c2039,1
28,8,Win,Enemy Team,c5001,1
28,9,Win,Enemy Team,c1103,1
29,2,Win,My Team,c2113,0
29,3,Win,My Team,c2070,0
29,6,Win,My Team,c2111,0
29,7,Win,My Team,c1163,0
29,10,Win,My Team,c1127,0
29,1,Loss,Enemy Team,c5110,1
29,4,Loss,Enemy Team,c5001,1
29,5,Loss,Enemy Team,c2112,1
29,8,Loss,Enemy Team,c1076,1
29,9,Loss,Enemy Team,c2016,1
30,2,Win,My Team,c5110,0
30,3,Win,My Team,c2004,0
30,6,Win,My Team,c2112,0
30,7,Win,My Team,c1117,0
30,10,Win,My Team,c1103,0
30,1,Loss,Enemy Team,c2125,1
30,4,Loss,Enemy Team,c2035,1
30,5,Loss,Enemy Team,c1133,1
30,8,Loss,Enemy Team,c4158,1
30,9,Loss,Enemy Team,c1137,1
31,2,Win,My Team,c5110,0
31,3,Win,My Team,c2004,0
31,6,Win,My Team,c2112,0
31,7,Win,My Team,c2127,0
31,10,Win,My Team,c2102,0
31,1,Loss,Enemy Team,c2125,1
31,4,Loss,Enemy Team,c1150,1
31,5,Loss,Enemy Team,c2011,1
31,8,Loss,Enemy Team,c4158,1
31,9,Loss,Enemy Team,c2024,1
32,2,Win,My Team,c2125,0
32,3,Win,My Team,c5001,0
32,6,Win,My Team,c2101,0
32,7,Win,My Team,c1076,0
32,10,Win,My Team,c2023,0
32,1,Loss,Enemy Team,c2113,1
32,4,Loss,Enemy Team,c1171,1
32,5,Loss,Enemy Team,c1156,1
32,8,Loss,Enemy Team,c1153,1
32,9,Loss,Enemy Team,c2111,1
33,2,Loss,My Team,c2125,0
33,3,Loss,My Team,c2101,0
33,6,Loss,My Team,c2113,0
33,7,Loss,My Team,c2070,0
33,10,Loss,My Team,c2089,0
33,1,Win,Enemy Team,c2126,1
33,4,Win,Enemy Team,c1070,1
33,5,Win,Enemy Team,c5110,1
33,8,Win,Enemy Team,c2016,1
33,9,Win,Enemy Team,c1076,1
34,2,Win,My Team,c2125,0
34,3,Win,My Team,c1070,0
34,6,Win,My Team,c1133,0
34,7,Win,My Team,c2069,0
34,10,Win,My Team,c2102,0
34,1,Loss,Enemy Team,c5110,1
34,4,Loss,Enemy Team,c2011,1
34,5,Loss,Enemy Team,c2024,1
34,8,Loss,Enemy Team,c4158,1
34,9,Loss,Enemy Team,c1117,1
35,2,Win,My Team,c5001,0
35,3,Win,My Team,c5110,0
35,6,Win,My Team,c2125,0
35,7,Win,My Team,c2101,0
35,10,Win,My Team,c1121,0
35,1,Loss,Enemy Team,c2113,1
35,4,Loss,Enemy Team,c2070,1
35,5,Loss,Enemy Team,c1171,1
35,8,Loss,Enemy Team,c1076,1
35,9,Loss,Enemy Team,c2111,1
36,2,Win,My Team,c2113,0
36,3,Win,My Team,c2070,0
36,6,Win,My Team,c2112,0
36,7,Win,My Team,c1121,0
36,10,Win,My Team,c1055,0
36,1,Loss,Enemy Team,c2125,1
36,4,Loss,Enemy Team,c2101,1
36,5,Loss,Enemy Team,c1171,1
36,8,Loss,Enemy Team,c1022,1
36,9,Loss,Enemy Team,c1156,1
37,2,Win,My Team,c5001,0
37,3,Win,My Team,c1171,0
37,6,Win,My Team,c2112,0
37,7,Win,My Team,c1159,0
37,10,Win,My Team,c1104,0
37,1,Loss,Enemy Team,c2126,1
37,4,Loss,Enemy Team,c1117,1
37,5,Loss,Enemy Team,c1156,1
37,8,Loss,Enemy Team,c2053,1
37,9,Loss,Enemy Team,c1137,1
38,2,Win,My Team,c5001,0
38,3,Win,My Team,c1171,0
38,6,Win,My Team,c2112,0
38,7,Win,My Team,c1159,0
38,10,Win,My Team,c1104,0
38,1,Loss,Enemy Team,c2126,1
38,4,Loss,Enemy Team,c1117,1
38,5,Loss,Enemy Team,c1070,1
38,8,Loss,Enemy Team,c1129,1
38,9,Loss,Enemy Team,c1133,1
39,2,Win,My Team,c5110,0
39,3,Win,My Team,c5001,0
39,6,Win,My Team,c1153,0
39,7,Win,My Team,c1134,0
39,10,Win,My Team,c2095,0
39,1,Loss,Enemy Team,c2113,1
39,4,Loss,Enemy Team,c2126,1
39,5,Loss,Enemy Team,c1133,1
39,8,Loss,Enemy Team,c5046,1
39,9,Loss,Enemy Team,c1055,1
40,2,Loss,My Team,c1133,0
40,3,Loss,My Team,c5046,0
40,6,Loss,My Team,c2112,0
40,7,Loss,My Team,c2047,0
40,10,Loss,My Team,c1055,0
40,1,Win,Enemy Team,c2128,1
40,4,Win,Enemy Team,c2111,1
40,5,Win,Enemy Team,c1142,1
40,8,Win,Enemy Team,c2004,1
40,9,Win,Enemy Team,c1150,1
41,2,Win,My Team,c5110,0
41,3,Win,My Team,c5001,0
41,6,Win,My Team,c2126,0
41,7,Win,My Team,c5004,0
41,10,Win,My Team,c5050,0
41,1,Loss,Enemy Team,c2113,1
41,4,Loss,Enemy Team,c2070,1
41,5,Loss,Enemy Team,c2111,1
41,8,Loss,Enemy Team,c2101,1
41,9,Loss,Enemy Team,c1117,1
42,2,Win,My Team,c5110,0
42,3,Win,My Team,c2070,0
42,6,Win,My Team,c2112,0
42,7,Win,My Team,c2127,0
42,10,Win,My Team,c2095,0
42,1,Loss,Enemy Team,c1076,1
42,4,Loss,Enemy Team,c1171,1
42,5,Loss,Enemy Team,c5001,1
42,8,Loss,Enemy Team,c1153,1
42,9,Loss,Enemy Team,c1148,1
43,2,Win,My Team,c2112,0
43,3,Win,My Team,c5046,0
43,6,Win,My Team,c1133,0
43,7,Win,My Team,c2127,0
43,10,Win,My Team,c1170,0
43,1,Loss,Enemy Team,c2125,1
43,4,Loss,Enemy Team,c1070,1
43,5,Loss,Enemy Team,c2113,1
43,8,Loss,Enemy Team,c1117,1
43,9,Loss,Enemy Team,c5016,1
44,2,Loss,My Team,c2125,0
44,3,Loss,My Team,c1070,0
44,6,Loss,My Team,c2112,0
44,7,Loss,My Team,c4158,0
44,10,Loss,My Team,c2106,0
44,1,Win,Enemy Team,c5110,1
44,4,Win,Enemy Team,c2011,1
44,5,Win,Enemy Team,c2024,1
44,8,Win,Enemy Team,c1104,1
44,9,Win,Enemy Team,c1150,1
45,2,Win,My Team,c2011,0
45,3,Win,My Team,c2106,0
45,6,Win,My Team,c2125,0
45,7,Win,My Team,c2004,0
45,10,Win,My Team,c1020,0
45,1,Loss,Enemy Team,c1150,1
45,4,Loss,Enemy Team,c5110,1
45,5,Loss,Enemy Team,c2112,1
45,8,Loss,Enemy Team,c6020,1
45,9,Loss,Enemy Team,c4158,1
46,2,Win,My Team,c1133,0
46,3,Win,My Team,c5046,0
46,6,Win,My Team,c2125,0
46,7,Win,My Team,c2007,0
46,10,Win,My Team,c2011,0
46,1,Loss,Enemy Team,c2112,1
46,4,Loss,Enemy Team,c1103,1
46,5,Loss,Enemy Team,c1162,1
46,8,Loss,Enemy Team,c1109,1
46,9,Loss,Enemy Team,c1151,1
47,2,Loss,My Team,c1133,0
47,3,Loss,My Team,c1055,0
47,6,Loss,My Team,c2112,0
47,7,Loss,My Team,c2127,0
47,10,Loss,My Team,c1142,0
47,1,Win,Enemy Team,c5110,1
47,4,Win,Enemy Team,c1117,1
47,5,Win,Enemy Team,c2113,1
47,8,Win,Enemy Team,c5016,1
47,9,Win,Enemy Team,c6037,1
48,2,Loss,My Team,c1171,0
48,3,Loss,My Team,c1076,0
48,6,Loss,My Team,c5001,0
48,7,Loss,My Team,c2074,0
48,10,Loss,My Team,c1104,0
48,1,Win,Enemy Team,c2113,1
48,4,Win,Enemy Team,c5110,1
48,5,Win,Enemy Team,c1153,1
48,8,Win,Enemy Team,c4158,1
48,9,Win,Enemy Team,c1137,1
49,2,Win,My Team,c2113,0
49,3,Win,My Team,c2070,0
49,6,Win,My Team,c2111,0
49,7,Win,My Team,c2126,0
49,10,Win,My Team,c2101,0
49,1,Loss,Enemy Team,c5110,1
49,4,Loss,Enemy Team,c2125,1
49,5,Loss,Enemy Team,c1156,1
49,8,Loss,Enemy Team,c1161,1
49,9,Loss,Enemy Team,c1159,1
50,2,Win,My Team,c1133,0
50,3,Win,My Team,c5110,0
50,6,Win,My Team,c2125,0
50,7,Win,My Team,c2102,0
50,10,Win,My Team,c2110,0
50,1,Loss,Enemy Team,c2112,1
50,4,Loss,Enemy Team,c1162,1
50,5,Loss,Enemy Team,c1070,1
50,8,Loss,Enemy Team,c1117,1
50,9,Loss,Enemy Team,c1104,1
51,2,Win,My Team,c2113,0
51,3,Win,My Team,c5110,0
51,6,Win,My Team,c1153,0
51,7,Win,My Team,c2070,0
51,10,Win,My Team,c2128,0
51,1,Loss,Enemy Team,c5001,1
51,4,Loss,Enemy Team,c1171,1
51,5,Loss,Enemy Team,c2111,1
51,8,Loss,Enemy Team,c2106,1
51,9,Loss,Enemy Team,c2011,1
52,2,Win,My Team,c5110,0
52,3,Win,My Team,c1133,0
52,6,Win,My Team,c2112,0
52,7,Win,My Team,c5046,0
52,10,Win,My Team,c2127,0
52,1,Loss,Enemy Team,c2125,1
52,4,Loss,Enemy Team,c2016,1
52,5,Loss,Enemy Team,c1070,1
52,8,Loss,Enemy Team,c1091,1
52,9,Loss,Enemy Team,c1055,1
53,2,Win,My Team,c1133,0
53,3,Win,My Team,c5110,0
53,6,Win,My Team,c2112,0
53,7,Win,My Team,c2011,0
53,10,Win,My Team,c1055,0
53,1,Loss,Enemy Team,c2125,1
