Hero,Hero Name,Role,Element,Hero Skill Names,Hero Skill Descriptions,Hero Skill Turns,Soul Burn Count,Soul Burn Descriptions
c1144,Abigail,warrior,fire,"[""Ambush"", ""Blood Banquet"", ""Scarlet Garden""]","[""Attacks the enemy with bloodied wings, and [b]increases Combat Readiness[/b] of the caster by 15%. When used on the caster's turn, has a 35% chance to activate Might as an extra effect. Damage dealt increases proportional to the [b]caster's max Health[/b].Might: [b]Increases Combat Readiness[/b] of all allies by 15%."", ""At the start of the turn, [color=red]curses[/color] the enemy with the highest Attack for 1 turn. When the ally in the back row except for the caster receives lethal damage, consumes 30% of the caster's current Health, [b]dispelling all debuffs[/b] from the target, before granting [color=#1080e5]immortality[/color] and [color=#1080e5]vampirism[/color] for 1 turn. Can only be activated once every [color=orange]4[/color] turns."", ""After [b]dispelling all buffs[/b] from the enemy, attacks with a field of bloody thorns, inflicting [b]injuries[/b]. [b]Increases Effectiveness[/b] of this attack by 50% and damage dealt increases proportional to the [b]caster's max Health[/b]. The severity of injuries increases proportional to damage dealt. Injuries decrease max Health of the target by up to 25% every time this skill is used.""]","['', '4 turns', '4 turns']","['Soulburn (10 souls)', '', '']","[""Increase chance to activate Might to 100%."", """", """"]"
c1146,Benimaru,warrior,fire,"[""Move Out of the Way"", ""Universal Perception"", ""Show No Mercy""]","[""Cuts the enemy to attack. When the caster is granted [color=#1080e5]Multilayer Barrier[/color], increases damage dealt."", ""At the start of the first battle, gains 50 Fighting Spirit. At the start of an enemy's [b]extra turn[/b], [b]dispels all debuffs[/b] from the caster and grants [color=#1080e5]Multilayer Barrier[/color] for 2 turns before [b]increasing Combat Readiness[/b] by [color=orange]40%[/color]. The effect following an enemy's extra turn can only be activated once every 2 turns. After attacking, when Fighting Spirit is full, [b]consumes all Fighting Spirit[/b] to activate Hell Flare. [b]Hell Flare[/b] : [b]Attacks all enemies[/b] with a dark flame sphere. [b]Penetrates[/b] the target's Defense by 30%, and when the caster is granted [color=#1080e5]Multilayer Barrier[/color], [b]penetrates[/b] the target's Defense by an additional 30%."", ""Attacks the enemy by slashing their soul, [color=red]decreasing Defense[/color] for 2 turns, before [b]increasing Combat Readiness[/b] of the ally with the highest Combat Readiness except for the caster by 15%. When the caster is granted [color=#1080e5]Multilayer Barrier[/color], acquired Fighting Spirit is doubled.""]","['', '', '4 turns']","['Soulburn (10 souls)', '', '']","[""Increases damage dealt"", """", """"]"
c1079,Cermia,warrior,fire,"[""Playing with Fire"", ""Hot Streak!"", ""All-In!""]","[""Attacks with a flaming sword, with a [color=orange]75%[/color] chance to make the target [color=red]unhealable[/color] for 1 turn."", ""Shoots fire, granting the caster [color=#1080e5]increased Attack (Greater)[/color] for 2 turns, [b]resetting the cooldown[/b] of All-In!, and granting an [b]extra turn[/b]."", ""Attacks with a blazing inferno, [b]penetrating[/b] Defense by 50%.""]","['', '4 turns', '5 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""Increases damage dealt.""]"
c1134,Edward Elric,warrior,fire,"[""I'll Take You On!"", ""Equivalent Exchange"", ""I'll Show You Our Difference!""]","[""Attacks the enemy with a transmuted blade, and grants a [color=#1080e5]barrier[/color] to the caster for 1 turn. Damage dealt and barrier strength increase proportional to the [b]caster's max Health[/b]."", ""After being attacked, when the caster has a debuff, [b]dispels one debuff[/b] and activates Rise!. Rise! can only be activated once per turn. [b]Rise![/b] : Attacks [b]all enemies[/b] with ground thorns, [b]dispelling one buff[/b] and inflicting a [color=red]random debuff[/color] for 2 turns, before [b]increasing Combat Readiness[/b] by 20%. Damage dealt increases proportional to the [b]caster's max Health[/b]."", ""Attacks the enemy together with Alphonse, and [b]increase Combat Readiness[/b] by 50%. When the enemy is not an Elite or Boss monster, [b]damage sharing effects are ignored[/b]. Damage dealt increases proprotional to the [b]caster's max Health[/b]. Damage dealt increases every time this skill is used and can stack up to 3 times.""]","['', '1 turns', '4 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""Skill cooldown is decreased by 2 turns.""]"
c5016,Holiday Yufine,warrior,fire,"[""Just One Bite! ♡"", ""Let's Eat Together!"", ""Yufine's ☆ Special""]","[""Attacks the enemy by tearing up a food market, with a [color=orange]75%[/color] chance to [color=red]burn[/color] for 1 turn. When used on the caster's turn, Just One Bite! ♡ becomes an attack that targets [b]all enemies[/b]. Changed attack is [b]unaffected by elemental disadvantage[/b] and does not trigger a Dual Attack."", ""[b]Reduces the effect of decreased Combat Readiness[/b] debuffs inflicted on all allies by [color=orange]50%[/color]. This skill effect does not stack with other passive skills of the same name. [b]Increase Evasion[/b] by 35%, and [b]increase Evasion[/b] by an additional 35% when the caster is at max Health."", ""[b]Dispels two debuffs[/b] from all allies and [b]attacks all enemies[/b] in the middle of a night market. [color=#1080e5]Increased Attack[/color] of all allies for 2 turns and [b]Combat Readiness[/b] by 20%.""]","['', '', '4 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""Skill cooldown is decreased by 2 turns.""]"
c1128,Hwayoung,warrior,fire,"[""Supersonic Kick"", ""Prairie Hawk"", ""Monarch's Flaming Strike""]","[""Attacks the enemy with a kick. A successful attack inflicts [b]additional damage[/b] proportional to the [b]caster's Attack[/b]."", ""When attacking, [b]cannot trigger a critical hit[/b]. [b]Damage suffered from a critical hit decreases[/b] by [color=orange]30%[/color]. When more than one damage reduction effect is granted, only the strongest effect is applied. At the start of the turn, when the caster does not have a debuff, [color=#1080e5]increases Attack[/color] for 1 turn."", ""[b]Dispels all debuffs[/b] from the caster, and attacks the enemy with a secret technique and grants [color=#1080e5]immunity[/color] and a [color=#1080e5]barrier[/color] to the caster for 2 turns. When the caster's Attack is greater than the [b]target's Attack[/b], [b]penetrates[/b] the target's Defense, with penetration rate increasing [b]proportional to the difference[/b], up to a maximum of 100%. Barrier strength increases proportional to the [b]caster's Attack[/b].""]","['', '', '3 turns']","['Soulburn (10 souls)', '', '']","[""Increases damage dealt and additional damage."", """", """"]"
c1130,Jack-O',warrior,fire,"[""Throw Servant"", ""Trick-or-Treat"", ""Forever Elyson Driver""]","[""Attacks the enemy with a servant, with a [color=orange]40%[/color] chance to [color=red]stun[/color] for 1 turn. After attacking on the caster's turn, when the target has a debuff, activates Dust Attack as an [b]extra attack[/b]. [b]Dust Attack[/b] : Attacks the enemy by throwing them into the air, granting [color=#1080e5]stealth[/color] to the caster for 1 turn."", ""At the start of the battle, grants [color=#1080e5]Chain of Chiron[/color] to the ally in the back row for 2 turns. After an ally attacks, when the target has a debuff, [b]increasing Combat Readiness[/b] of the caster by [color=orange]30%[/color]. This effect is activated after all of the attacker's effects have occurred, and can only be activated once every 3 turns."", ""[color=#1080e5]Increases Attack[/color] of the caster for 2 turns, before attacking the enemy by swallowing them with a jack-o'-lantern. When the enemy is defeated [b]increases Combat Readiness[/b] of all allies by 20% and grants an [b]extra turn[/b] to the caster. [b]Penetrates[/b] the target's Defense by 50%. When the target has a debuff, damage dealt increases.""]","['', '3 turns', '3 turns']","['Soulburn (10 souls)', '', '']","[""Increase effect chance to 100%."", """", """"]"
c1152,Kane,warrior,fire,"[""Hammer Time"", ""Force Awakening"", ""Feast of Predation""]","[""Attacks the enemy with a hammer, and [b]increases Combat Readiness[/b] of the caster by 15%. When the caster is enraged, activates Rock Smash as an [b]extra attack[/b]. Rock Smash can only be activated once per turn, during the caster's turn. [b]Rock Smash[/b] : Attacks [b]all enemies[/b] by slamming the ground, and inflicts [color=red]bleeding[/color] for 2 turns. [b]Ignores Effect Resistance[/b]."", ""Upon receiving lethal damage, grants [color=#1080e5]immortality[/color] and [color=#1080e5]vampirism[/color] for 1 turn and [b]resets skill cooldown[/b] of Feast of Predation. Can be only activated once every [color=orange]6[/color] turns. After an ally attacks, if the target has a debuff, gains 10 Fighting Spirit and when Fighting Spirit is full, [b]consumes all Fighting Spirit[/b] to make the caster [color=#1080e5]enraged[/color] for 2 turns."", ""Attacks the enemy by unleashing their power, and grants [color=#1080e5]increased Attack (Greater)[/color] to the caster for 2 turns. Damage dealt increases proportional to the [b]number of debuffs[/b] inflicted on the target.""]","['', '6 turns', '4 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""Skill cooldown is decreased by 2 turns.""]"
c1047,Ken,warrior,fire,"[""Knockout"", ""Celestial Kick"", ""Phoenix Flurry""]","[""Attacks with a flurry of strikes, with a 50% chance to [color=red]decrease Defense[/color] for 2 turns. [color=red]Burns[/color] the enemy for 2 turns when the caster is granted [color=#1080e5]vigor[/color]. Damage dealt increases proportional to the [b]caster's max Health[/b]."", ""Kicks the enemy with a series of kicks, [color=red]decreasing Defense[/color] for 2 turns before granting the caster [color=#1080e5]increased Speed[/color] for 2 turns. When the caster is granted [color=#1080e5]vigor[/color], [b]ignores Effect Resistance[/b]. Damage dealt increases proportional to the [b]caster's max Health[/b]."", ""Attacks with a flurry of strikes before delivering a powerful blow, [color=red]decreasing Attack[/color] for 2 turns and [color=red]stunning[/color] for 1 turn. Grants [color=#1080e5]vigor[/color] to the caster for 3 turns. Damage dealt increases proportional to the [b]caster's max Health[/b]. At the start of the first battle, [b]gains 40 Fighting Spirit[/b].""]","['', '3 turns', '4 turns']","['', 'Soulburn (20 souls)', '']","["""", ""Grants an [b]extra turn[/b]."", """"]"
c1019,Ravi,warrior,fire,"[""Slaughter"", ""Demon's Blood"", ""Devil Drive""]","[""Attacks the enemy with a double-edged axe, and [b]absorbs[/b] some of the damage dealt as Health. A successful attack [b]always results in a critical hit[/b]."", ""Starts the first battle with [b]60 Fighting Spirit[/b] and increases Attack proportional to the [b]caster's max Health[/b]. The rate of the increase Attack effect does not change after it is activated. After being attacked, [b]increases Combat Readiness[/b] by [color=orange]15%[/color] and after suffering a critical hit, [b]dispels one debuff[/b] from the caster. Dispelling debuff effect can only be activated once per turn."", ""Brutally attacks [b]all enemies[/b], inflicting [b]injuries[/b] before a 75% chance to [color=red]stun[/color] for 1 turn. A successful attack [b]always results in a critical hit[/b]. The severity of injuries increases proportional to damage dealt. Injuries decrease max Health of the target by [b]up to 20%[/b] every time this skill is used.""]","['', '', 'Consume 90 Fighting Spirit']","['Soulburn (20 souls)', '', '']","[""Greatly increases amount of damage dealt. Does not trigger a Dual Attack."", """", """"]"
