Hero,Rank,Win Rate,Equipment,Equipment Win Rate,Counters,Synergies
c1072,Ranking: 230 / 335,35.2,"{'0': ['set_cri_dmg', 'set_penetrate'], '1': ['set_cri', 'set_cri_dmg'], '2': ['set_cri', 'set_rage'], '3': ['set_penetrate', 'set_rage'], '4': ['set_cri', 'set_speed']}","{'0': '44.23', '1': '25', '2': '26.67', '3': '57.14', '4': '20'}","['c5110', 'c2011', 'c2112']","['c2018', 'c3124', 'c1103']"
c2101,Ranking: 15 / 335,54.83,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_max_hp', 'set_speed'], '2': ['set_cri', 'set_speed'], '3': ['set_immune', 'set_speed'], '4': ['set_res', 'set_speed']}","{'0': '54.43', '1': '55.51', '2': '56.06', '3': '56.35', '4': '55.99'}","['c5110', 'c2011', 'c2112']","['c2125', 'c5110', 'c2112']"
c5149,Ranking: 208 / 335,37.17,"{'0': ['set_max_hp', 'set_speed'], '1': ['set_acc', 'set_speed'], '2': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '3': ['set_immune', 'set_speed'], '4': ['set_speed']}","{'0': '36.74', '1': '50', '2': '37.04', '3': '38.3', '4': '43.75'}","['c5110', 'c2112', 'c2011']","['c1133', 'c5110', 'c2112']"
c6017,Ranking: 165 / 335,41.96,"{'0': ['set_res', 'set_speed'], '1': ['set_max_hp', 'set_speed'], '2': ['set_res', 'set_res', 'set_res'], '3': ['set_immune', 'set_speed'], '4': ['set_speed']}","{'0': '42.24', '1': '41.11', '2': '42.04', '3': '42.45', '4': '44.04'}","['c2066', 'c5110', 'c2112']","['c5110', 'c2011', 'c2112']"
c2053,Ranking: 158 / 335,42.36,"{'0': ['set_res', 'set_speed'], '1': ['set_immune', 'set_speed'], '2': ['set_speed'], '3': ['set_immune', 'set_max_hp', 'set_res'], '4': ['set_max_hp', 'set_speed']}","{'0': '44.57', '1': '35.6', '2': '42.53', '3': '46', '4': '40.82'}","['c2066', 'c5110', 'c2112']","['c1133', 'c5110', 'c2128']"
c3155,Ranking: 5 / 335,66.67,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c4044,Ranking: 212 / 335,36.8,"{'0': ['set_max_hp', 'set_speed'], '1': ['set_res', 'set_speed'], '2': ['set_max_hp', 'set_revenge'], '3': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '4': ['set_immune', 'set_max_hp', 'set_max_hp']}","{'0': '41.48', '1': '26.76', '2': '27.27', '3': '37.5', '4': '22.22'}","['c5110', 'c2011', 'c2112']","['c2070', 'c2113', 'c1008']"
c2006,Ranking: 70 / 335,48.76,"{'0': ['set_cri', 'set_speed'], '1': ['set_speed', 'set_torrent'], '2': ['set_speed'], '3': ['set_att', 'set_torrent'], '4': ['set_penetrate', 'set_speed']}","{'0': '47.65', '1': '61.96', '2': '42.08', '3': '62.62', '4': '44.74'}","['c5110', 'c2011', 'c2128']","['c1133', 'c1163', 'c1151']"
c2085,Ranking: 231 / 335,35.03,"{'0': ['set_speed'], '1': ['set_immune', 'set_speed'], '2': ['set_acc', 'set_speed'], '3': ['set_max_hp', 'set_speed'], '4': ['set_def', 'set_speed']}","{'0': '39.86', '1': '32.89', '2': '35.87', '3': '26.79', '4': '57.14'}","['c5110', 'c1104', 'c1153']","['c2011', 'c1103', 'c2128']"
c1130,Ranking: 51 / 335,50.5,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_cri', 'set_speed'], '2': ['set_cri_dmg', 'set_penetrate'], '3': ['set_att', 'set_penetrate'], '4': ['set_penetrate', 'set_rage']}","{'0': '51.21', '1': '47.46', '2': '47.22', '3': '41.26', '4': '52.38'}","['c5110', 'c2112', 'c2011']","['c1133', 'c5110', 'c1118']"
c1014,Ranking: 76 / 335,48.28,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_cri', 'set_speed'], '2': ['set_speed'], '3': ['set_acc', 'set_speed'], '4': ['set_speed', 'set_torrent']}","{'0': '49.32', '1': '47.27', '2': '41.01', '3': '60', '4': '56.52'}","['c2112', 'c5110', 'c2011']","['c5110', 'c1133', 'c2112']"
c5071,Ranking: 209 / 335,37.06,"{'0': ['set_cri', 'set_speed'], '1': ['set_cri', 'set_vampire'], '2': ['set_cri', 'set_cri_dmg'], '3': ['set_att', 'set_cri'], '4': ['set_immune', 'set_vampire']}","{'0': '30.47', '1': '46.53', '2': '31.25', '3': '49.15', '4': '38.36'}","['c5110', 'c2011', 'c2112']","['c1103', 'c5110', 'c2066']"
c1157,Ranking: 94 / 335,46.48,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_cri', 'set_speed'], '2': ['set_speed'], '3': ['set_speed', 'set_torrent'], '4': ['set_cri_dmg', 'set_penetrate']}","{'0': '47.53', '1': '45.69', '2': '42.09', '3': '40.58', '4': '47.54'}","['c5110', 'c2011', 'c2125']","['c2112', 'c1133', 'c2066']"
c3135,Ranking: 259 / 335,31.3,"{'0': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '1': ['set_counter', 'set_res'], '2': ['set_counter', 'set_max_hp'], '3': ['set_immune', 'set_shield'], '4': ['set_immune', 'set_speed']}","{'0': '38.46', '1': '27.27', '2': '40', '3': '9.09', '4': '20'}","['c1103', 'c2112', 'c1104']","['c2090', 'c2011', 'c2125']"
c1046,Ranking: 191 / 335,39.61,"{'0': ['set_acc', 'set_speed'], '1': ['set_speed'], '2': ['set_cri', 'set_speed'], '3': ['set_penetrate', 'set_speed'], '4': ['set_att', 'set_cri']}","{'0': '43.94', '1': '42.19', '2': '32.84', '3': '41.67', '4': '15.79'}","['c5110', 'c2011', 'c2112']","['c5046', 'c2046', 'c2110']"
c1128,Ranking: 149 / 335,43.01,"{'0': ['set_speed', 'set_torrent'], '1': ['set_immune', 'set_speed'], '2': ['set_speed'], '3': ['set_penetrate', 'set_speed'], '4': ['set_att', 'set_torrent']}","{'0': '44.77', '1': '45.45', '2': '35.71', '3': '48.39', '4': '35.9'}","['c1162', 'c1104', 'c5110']","['c2112', 'c5110', 'c2128']"
c3023,Ranking: 1 / 335,100,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c2049,Ranking: 120 / 335,44.71,"{'0': ['set_res', 'set_speed'], '1': ['set_max_hp', 'set_speed'], '2': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '3': ['set_counter', 'set_res'], '4': ['set_immune', 'set_speed']}","{'0': '43.42', '1': '45.08', '2': '55.38', '3': '50', '4': '40'}","['c5110', 'c2112', 'c2066']","['c2011', 'c1104', 'c2090']"
c3102,Ranking: 215 / 335,36.36,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
