Match Number,Pick Order,Match Result,Team,Hero,First Pick
0,1,Win,My Team,c2113,1
0,4,Win,My Team,c2042,1
0,5,Win,My Team,c1153,1
0,8,Win,My Team,c2039,1
0,9,Win,My Team,c1055,1
0,2,Loss,Enemy Team,c2008,0
0,3,Loss,Enemy Team,c2073,0
0,6,Loss,Enemy Team,c2095,0
0,7,Loss,Enemy Team,c2070,0
0,10,Loss,Enemy Team,c1104,0
1,1,Win,My Team,c2113,1
1,4,Win,My Team,c2039,1
1,5,Win,My Team,c1153,1
1,8,Win,My Team,c2019,1
1,9,Win,My Team,c1055,1
1,2,Loss,Enemy Team,c2070,0
1,3,Loss,Enemy Team,c2095,0
1,6,Loss,Enemy Team,c2017,0
1,7,Loss,Enemy Team,c1022,0
1,10,Loss,Enemy Team,c2101,0
2,1,Win,My Team,c2113,1
2,4,Win,My Team,c2039,1
2,5,Win,My Team,c1153,1
2,8,Win,My Team,c2070,1
2,9,Win,My Team,c1148,1
2,2,Loss,Enemy Team,c2011,0
2,3,Loss,Enemy Team,c2095,0
2,6,Loss,Enemy Team,c2073,0
2,7,Loss,Enemy Team,c2023,0
2,10,Loss,Enemy Team,c1104,0
3,2,Win,My Team,c2112,0
3,3,Win,My Team,c5110,0
3,6,Win,My Team,c2042,0
3,7,Win,My Team,c2113,0
3,10,Win,My Team,c2082,0
3,1,Loss,Enemy Team,c2066,1
3,4,Loss,Enemy Team,c2011,1
3,5,Loss,Enemy Team,c2111,1
3,8,Loss,Enemy Team,c1127,1
3,9,Loss,Enemy Team,c2102,1
4,2,Win,My Team,c2113,0
4,3,Win,My Team,c2112,0
4,6,Win,My Team,c2042,0
4,7,Win,My Team,c1112,0
4,10,Win,My Team,c2015,0
4,1,Loss,Enemy Team,c2066,1
4,4,Loss,Enemy Team,c1163,1
4,5,Loss,Enemy Team,c1103,1
4,8,Loss,Enemy Team,c1151,1
4,9,Loss,Enemy Team,c2011,1
5,1,Win,My Team,c2113,1
5,4,Win,My Team,c1055,1
5,5,Win,My Team,c2112,1
5,8,Win,My Team,c2102,1
5,9,Win,My Team,c2082,1
5,2,Loss,Enemy Team,c1022,0
5,3,Loss,Enemy Team,c1126,0
5,6,Loss,Enemy Team,c2111,0
5,7,Loss,Enemy Team,c2038,0
5,10,Loss,Enemy Team,c2039,0
6,2,Win,My Team,c2039,0
6,3,Win,My Team,c2106,0
6,6,Win,My Team,c2095,0
6,7,Win,My Team,c2066,0
6,10,Win,My Team,c4158,0
6,1,Loss,Enemy Team,c5110,1
6,4,Loss,Enemy Team,c1104,1
6,5,Loss,Enemy Team,c1153,1
6,8,Loss,Enemy Team,c2011,1
6,9,Loss,Enemy Team,c5089,1
7,2,Win,My Team,c1153,0
7,3,Win,My Team,c2066,0
7,6,Win,My Team,c2109,0
7,7,Win,My Team,c2042,0
7,10,Win,My Team,c2106,0
7,1,Loss,Enemy Team,c1133,1
7,4,Loss,Enemy Team,c1118,1
7,5,Loss,Enemy Team,c2069,1
7,8,Loss,Enemy Team,c2091,1
7,9,Loss,Enemy Team,c2102,1
8,1,Win,My Team,c2042,1
8,4,Win,My Team,c2039,1
8,5,Win,My Team,c1153,1
8,8,Win,My Team,c1055,1
8,9,Win,My Team,c2007,1
8,2,Loss,Enemy Team,c2070,0
8,3,Loss,Enemy Team,c2112,0
8,6,Loss,Enemy Team,c2073,0
8,7,Loss,Enemy Team,c2101,0
8,10,Loss,Enemy Team,c2088,0
9,1,Win,My Team,c2066,1
9,4,Win,My Team,c2042,1
9,5,Win,My Team,c1103,1
9,8,Win,My Team,c1150,1
9,9,Win,My Team,c1151,1
9,2,Loss,Enemy Team,c2112,0
9,3,Loss,Enemy Team,c2113,0
9,6,Loss,Enemy Team,c2011,0
9,7,Loss,Enemy Team,c1133,0
9,10,Loss,Enemy Team,c2102,0
10,1,Win,My Team,c2066,1
10,4,Win,My Team,c2112,1
10,5,Win,My Team,c1055,1
10,8,Win,My Team,c1133,1
10,9,Win,My Team,c2004,1
10,2,Loss,Enemy Team,c5110,0
10,3,Loss,Enemy Team,c2042,0
10,6,Loss,Enemy Team,c1118,0
10,7,Loss,Enemy Team,c2102,0
10,10,Loss,Enemy Team,c1159,0
11,2,Win,My Team,c2066,0
11,3,Win,My Team,c5110,0
11,6,Win,My Team,c2042,0
11,7,Win,My Team,c2095,0
11,10,Win,My Team,c2079,0
11,1,Loss,Enemy Team,c2113,1
11,4,Loss,Enemy Team,c1159,1
11,5,Loss,Enemy Team,c2111,1
11,8,Loss,Enemy Team,c2073,1
11,9,Loss,Enemy Team,c2070,1
12,1,Win,My Team,c2042,1
12,4,Win,My Team,c2039,1
12,5,Win,My Team,c1159,1
12,8,Win,My Team,c4158,1
12,9,Win,My Team,c1104,1
12,2,Loss,Enemy Team,c2106,0
12,3,Loss,Enemy Team,c2095,0
12,6,Loss,Enemy Team,c2112,0
12,7,Loss,Enemy Team,c1055,0
12,10,Loss,Enemy Team,c5089,0
13,2,Win,My Team,c2113,0
13,3,Win,My Team,c5110,0
13,6,Win,My Team,c6017,0
13,7,Win,My Team,c2070,0
13,10,Win,My Team,c1102,0
13,1,Loss,Enemy Team,c2066,1
13,4,Loss,Enemy Team,c2042,1
13,5,Loss,Enemy Team,c2111,1
13,8,Loss,Enemy Team,c2101,1
13,9,Loss,Enemy Team,c1100,1
14,2,Loss,My Team,c1153,0
14,3,Loss,My Team,c2066,0
14,6,Loss,My Team,c2106,0
14,7,Loss,My Team,c1022,0
14,10,Loss,My Team,c2042,0
14,1,Win,Enemy Team,c1133,1
14,4,Win,Enemy Team,c1118,1
14,5,Win,Enemy Team,c2069,1
14,8,Win,Enemy Team,c2102,1
14,9,Win,Enemy Team,c1163,1
15,1,Win,My Team,c2113,1
15,4,Win,My Team,c2039,1
15,5,Win,My Team,c1153,1
15,8,Win,My Team,c2042,1
15,9,Win,My Team,c1019,1
15,2,Loss,Enemy Team,c2070,0
15,3,Loss,Enemy Team,c1159,0
15,6,Loss,Enemy Team,c2095,0
15,7,Loss,Enemy Team,c1104,0
15,10,Loss,Enemy Team,c1100,0
16,2,Win,My Team,c2066,0
16,3,Win,My Team,c2112,0
16,6,Win,My Team,c2004,0
16,7,Win,My Team,c1014,0
16,10,Win,My Team,c1065,0
16,1,Loss,Enemy Team,c5110,1
16,4,Loss,Enemy Team,c1150,1
16,5,Loss,Enemy Team,c1118,1
16,8,Loss,Enemy Team,c1020,1
16,9,Loss,Enemy Team,c1130,1
17,2,Win,My Team,c5110,0
17,3,Win,My Team,c2112,0
17,6,Win,My Team,c2042,0
17,7,Win,My Team,c2095,0
17,10,Win,My Team,c1151,0
17,1,Loss,Enemy Team,c2113,1
17,4,Loss,Enemy Team,c2089,1
17,5,Loss,Enemy Team,c1103,1
17,8,Loss,Enemy Team,c2079,1
17,9,Loss,Enemy Team,c2111,1
18,2,Win,My Team,c5110,0
18,3,Win,My Team,c2070,0
18,6,Win,My Team,c2089,0
18,7,Win,My Team,c4158,0
18,10,Win,My Team,c1111,0
18,1,Loss,Enemy Team,c2113,1
